"Profile","Value"
1,1.52180611410045
2,0.187675346142164
3,0.432916205284733
4,0.762174143203237
5,0.925109066470958
6,1.49268577525505
7,1.22638407635603
8,1.38785905723728
9,0.740957331598014
10,0.952939878405728
11,0.572335993493077
12,0.921845176365872
13,1.42015953927558
14,1.3970177441393
15,0.809024464153077
16,1.37712905142207
17,1.79864800828631
18,1.43655937576106
19,1.95740390310664
20,2.14127190154437
21,2.22684249874826
22,1.60000968414114
23,1.3626961604691
24,1.60365097122524
25,1.40706672094223
26,1.27683082350586
27,1.27527695729097
28,2.01038799799825
29,2.6339568719846
30,1.46821908924688
31,1.61791745232444
32,1.53783399901163
33,1.68224362971189
34,1.61888859956647
35,0.555196564746521
36,1.24253199628659
37,0.469022257604327
38,1.21811366968561
39,1.90320181813863
40,1.4873693698566
41,2.25364655851366
42,1.64694910551738
43,1.31257808740812
44,1.32326810186262
45,1.16771192569471
46,0.869602396740734
47,1.56451725307548
48,1.72489731800739
49,1.92643482872287
50,2.17235864694186
