"Profile","Value"
1,1.10667631076923
2,-0.00133919619171288
3,-0.901217751957065
4,0.324905406003385
5,0.133643336794991
6,0.293198482215349
7,0.526444105608999
8,0.238818109441395
9,0.104645810363672
10,0.108664299541454
11,0.241583644039031
12,0.14064216633321
13,0.475844652126035
14,0.777210471130367
15,0.604724838901902
16,0.383061647268356
17,0.781176586057749
18,0.289002147890841
19,1.337887553788
20,1.77204526443
21,1.35034030341483
22,0.745351377349001
23,0.489429820053867
24,1.01580373381331
25,0.77716745265066
26,0.504487257306116
27,0.312720846868863
28,1.32980859475768
29,2.12841767645043
30,0.635211498580072
31,1.04537663412783
32,0.41822895524517
33,1.16260147055621
34,0.814423514496288
35,0.0727628649188188
36,0.329328176688038
37,0.055741039558579
38,0.548838931916713
39,1.04585535257945
40,0.517839979261039
41,1.72602772283381
42,1.28135864515841
43,0.561628333339075
44,0.416971059993489
45,0.44693407297935
46,0.275401038192437
47,0.83982092353294
48,1.38377614425766
49,1.13082948385623
50,1.29121483109988
